ticker_id,ticker_symbol
5,PFFD
6,SPDY
7,MAIN
8,SRET
9,PFF
10,HYEM
11,ARCC
12,RWX
13,IFGL
14,IXC
15,PSEC
16,HTGC
17,ORCC
18,SPYD
