user_id,ticker_id,unit,average_unit_cost,created_at,update_at
fukumura,5,2020-04-17,0.10,2020-07-26,2020-07-26
fukumura,11,2019-10-04,0.32,2020-07-26,2020-07-26
fukumura,11,2019-10-04,0.02,2020-07-26,2020-07-26
fukumura,9,2020-01-07,0.12,2020-07-26,2020-07-26
fukumura,11,2020-01-08,0.02,2020-07-26,2020-07-26
fukumura,11,2020-01-14,0.32,2020-07-26,2020-07-26
fukumura,15,2020-01-29,0.05,2020-07-26,2020-07-26
fukumura,10,2020-02-12,0.10,2020-07-26,2020-07-26
fukumura,9,2020-02-12,0.13,2020-07-26,2020-07-26
fukumura,15,2020-02-25,0.05,2020-07-26,2020-07-26
fukumura,10,2020-03-10,0.10,2020-07-26,2020-07-26
fukumura,9,2020-03-10,0.13,2020-07-26,2020-07-26
fukumura,16,2020-03-11,0.36,2020-07-26,2020-07-26
fukumura,16,2020-03-11,0.32,2020-07-26,2020-07-26
fukumura,7,2020-03-17,0.19,2020-07-26,2020-07-26
fukumura,15,2020-03-24,0.05,2020-07-26,2020-07-26
fukumura,18,2020-03-30,0.36,2020-07-26,2020-07-26
fukumura,12,2020-05-18,0.10,2020-07-26,2020-07-30
fukumura,13,2020-04-02,0.20,2020-07-26,2020-07-26
fukumura,11,2020-04-02,0.32,2020-07-26,2020-07-26
fukumura,10,2020-04-09,0.12,2020-07-26,2020-07-26
fukumura,9,2020-04-09,0.12,2020-07-26,2020-07-26
fukumura,8,2020-04-17,0.12,2020-07-26,2020-07-26
fukumura,7,2020-04-21,0.19,2020-07-26,2020-07-26
fukumura,15,2020-04-27,0.05,2020-07-26,2020-07-26
fukumura,10,2020-05-11,0.10,2020-07-26,2020-07-26
fukumura,9,2020-05-11,0.14,2020-07-26,2020-07-26
fukumura,5,2020-05-18,0.10,2020-07-26,2020-07-26
fukumura,8,2020-05-19,0.18,2020-07-26,2020-07-26
fukumura,17,2020-05-19,0.28,2020-07-26,2020-07-26
fukumura,7,2020-05-19,0.19,2020-07-26,2020-07-26
fukumura,17,2020-05-20,0.07,2020-07-26,2020-07-26
fukumura,16,2020-05-25,0.58,2020-07-26,2020-07-26
fukumura,16,2020-05-25,0.26,2020-07-26,2020-07-26
fukumura,15,2020-05-26,0.05,2020-07-26,2020-07-26
fukumura,10,2020-06-09,0.11,2020-07-26,2020-07-26
fukumura,9,2020-06-09,0.14,2020-07-26,2020-07-26
fukumura,8,2020-06-15,0.16,2020-07-26,2020-07-26
fukumura,5,2020-06-15,0.10,2020-07-26,2020-07-26
fukumura,7,2020-06-17,0.19,2020-07-26,2020-07-26
fukumura,15,2020-06-22,0.05,2020-07-26,2020-07-26
fukumura,14,2020-06-23,0.35,2020-07-26,2020-07-26
fukumura,18,2020-06-26,0.33,2020-07-26,2020-07-26
fukumura,12,2020-06-29,0.25,2020-07-26,2020-07-26
fukumura,11,2020-07-02,0.32,2020-07-26,2020-07-26
fukumura,10,2020-07-10,0.07,2020-07-26,2020-07-26
fukumura,9,2020-07-10,0.14,2020-07-26,2020-07-26
fukumura,8,2020-07-16,0.15,2020-07-26,2020-07-26
fukumura,5,2020-07-16,0.10,2020-07-26,2020-07-26
fukumura,7,2020-07-17,0.19,2020-07-26,2020-07-26
